id,title,url,headline,instructor,rating,num_reviews,num_subscribers,num_lectures,content_length,level,is_paid,last_update,published_time,image,topic
1793828,Docker and Kubernetes: The Complete Guide,https://www.udemy.com/course/docker-and-kubernetes-the-complete-guide/,"Build, test, and deploy Docker applications with Kubernetes while learning production-style development workflows",Stephen Grider,4.7130227,62096,328636,310,21.5 hours,All Levels,True,2026-02-03,2018-08-21T14:45:26Z,https://img-c.udemycdn.com/course/240x135/1793828_7999_2.jpg,docker
6465853,Docker for Absolute Beginners – Hands-On DevOps,https://www.udemy.com/course/docker-for-absolute-beginners-hands-on-devops/,"Learn Docker step-by-step with real hands-on labs: images, containers, Dockerfile, CI/CD and deployments for Dev & DevOp",Pankaj Gupta,4.782843,114,1195,60,3.5 hours,Beginner,True,2025-11-25,2025-11-26T09:34:44Z,https://img-c.udemycdn.com/course/240x135/6465853_86bb_3.jpg,docker
5884390,"Docker, Kubernetes & AWS: Real-World Deployment in 25 Days",https://www.udemy.com/course/docker-deployment/,"Build and deploy applications from scratch with Docker, Kubernetes & AWS. The step-by-step guide from Beginner to Pro.",Jannis Seemann,4.72057,613,6464,332,32 hours,Beginner,True,2025-02-13,2024-12-12T01:04:09Z,https://img-c.udemycdn.com/course/240x135/5884390_5ed7.jpg,docker
1486960,"Docker - Containers, Images, Compose, Kubernetes, and more!",https://www.udemy.com/course/docker-containers/,"[Docker-Endorsed] Create Docker containers & multi-container apps. Learn Compose, Kubernetes, Nginx, Cloudflare, & more!",David Joseph Katz,4.6894846,6071,26723,161,23.5 hours,All Levels,True,2025-12-13,2018-01-10T19:28:34Z,https://img-c.udemycdn.com/course/240x135/1486960_365e_3.jpg,docker
2045310,Build a Backend REST API with Python & Django - Advanced,https://www.udemy.com/course/django-python-advanced/,"Create an advanced REST API with Python, Django REST Framework and Docker using Test Driven Development (TDD)",Mark Winterbottom,4.503233,9754,55347,156,15 hours,Intermediate,True,2025-04-27,2018-12-17T23:20:44Z,https://img-c.udemycdn.com/course/240x135/2045310_f8a2_7.jpg,docker
6349863,Fast-Track Docker: Full-Stack App Deployment in 2.5 Days,https://www.udemy.com/course/fast-track-docker/,"Deploy real apps in days, not weeks. Fast-track your Docker & Docker Compose skills from beginner to production-ready.",Jannis Seemann,4.695768,164,1375,102,10 hours,Beginner,True,2025-08-18,2025-07-22T15:02:54Z,https://img-c.udemycdn.com/course/240x135/6349863_b83e_2.jpg,docker
2469322,Docker: A Project-Based Approach to Learning,https://www.udemy.com/course/docker-tutorial/,Learn how to manage Docker hosts and Docker containers through project-based training.,Jason Cannon,4.55102,3253,18056,35,4.5 hours,All Levels,True,2026-03-02,2019-10-17T19:50:08Z,https://img-c.udemycdn.com/course/240x135/2469322_66a1_5.jpg,docker
977360,AWS Infrastructure as Code With Terraform [2024 Updates],https://www.udemy.com/course/learn-devops-infrastructure-automation-with-terraform/,"Terraform, a popular infrastructure automation tool for DevOps. Terraform with AWS, Packer, Docker, ECS, EKS, Jenkins",Edward Viaene,4.5212283,16600,103535,116,12.5 hours,Beginner,True,2025-04-25,2016-10-17T17:23:33Z,https://img-c.udemycdn.com/course/240x135/977360_8585_5.jpg,docker
4221858,A deep understanding of deep learning (with Python intro),https://www.udemy.com/course/deeplearning_x/,"Master deep learning in PyTorch using an experimental scientific approach, with lots of examples and practice problems.",Mike X Cohen,4.817451,6194,50240,265,57.5 hours,Beginner,True,2026-02-28,2021-08-09T07:58:21Z,https://img-c.udemycdn.com/course/240x135/4221858_0d53_3.jpg,deep-learning
1151632,"Deep Learning A-Z 2026: Neural Networks, AI & ChatGPT Prize",https://www.udemy.com/course/deeplearning/,"Learn to create Deep Learning models in Python from two Machine Learning, Data Science experts. Code templates included.",Kirill Eremenko,4.5886974,49290,404203,189,22.5 hours,All Levels,True,2026-01-05,2017-03-28T17:17:56Z,https://img-c.udemycdn.com/course/240x135/1151632_de9b.jpg,deep-learning
2430492,[2026] Tensorflow 2: Deep Learning & Artificial Intelligence,https://www.udemy.com/course/deep-learning-tensorflow-2/,"Machine Learning & Neural Networks for Computer Vision, Time Series Analysis, NLP, GANs, Reinforcement Learning, +More!",Lazy Programmer Inc.,4.724368,14139,64901,146,26 hours,All Levels,True,2026-02-01,2019-08-12T21:46:33Z,https://img-c.udemycdn.com/course/240x135/2430492_5cdb_8.jpg,deep-learning
807904,Deep Learning: Convolutional Neural Networks in Python,https://www.udemy.com/course/deep-learning-convolutional-neural-networks-theano-tensorflow/,"Tensorflow 2 CNNs for Computer Vision, Natural Language Processing (NLP) +More! For Data Science & Machine Learning",Lazy Programmer Inc.,4.5535965,6568,48281,79,14 hours,All Levels,True,2026-02-09,2016-04-01T06:24:06Z,https://img-c.udemycdn.com/course/240x135/807904_7108.jpg,deep-learning
1899124,Recommender Systems and Deep Learning in Python,https://www.udemy.com/course/recommender-systems/,"The most in-depth course on recommendation systems with deep learning, machine learning, data science, and AI techniques",Lazy Programmer Inc.,4.654073,6236,35658,94,13 hours,Intermediate,True,2026-02-09,2018-09-13T00:33:02Z,https://img-c.udemycdn.com/course/240x135/1899124_3713.jpg,deep-learning
1795952,"The Complete Neural Networks Bootcamp: Theory, Applications",https://www.udemy.com/course/the-complete-neural-networks-bootcamp-theory-applications/,"Deep Learning and Neural Networks Theory and Applications with PyTorch! Including Transformers, BERT and GPT!",Fawaz Sammani,4.541349,2975,25839,306,44 hours,All Levels,True,2021-11-04,2018-08-11T23:42:44Z,https://img-c.udemycdn.com/course/240x135/1795952_e23e_2.jpg,deep-learning
4735368,Deep Learning Masterclass with TensorFlow 2 Over 20 Projects,https://www.udemy.com/course/deep-learning-masterclass-with-tensorflow-2-over-15-projects/,"Master Deep Learning with TensorFlow 2 with Computer Vision,Natural Language Processing, Sound Recognition & Deployment",Neuralearn Dot AI,4.2736692,504,7267,204,58.5 hours,All Levels,True,2026-02-19,2022-06-17T09:14:44Z,https://img-c.udemycdn.com/course/240x135/4735368_d75d_4.jpg,deep-learning
6148407,Practical Deep Learning: Master PyTorch in 15 Days,https://www.udemy.com/course/deep-learning-practical/,From Zero to your own models: Learn PyTorch with hands-on projects. No previous experience required.,Jannis Seemann,4.7109203,529,4253,137,16.5 hours,Beginner,True,2025-08-02,2025-01-13T03:27:24Z,https://img-c.udemycdn.com/course/240x135/6148407_3ccb_2.jpg,deep-learning
659368,Deep Learning Prerequisites: Logistic Regression in Python,https://www.udemy.com/course/data-science-logistic-regression-in-python/,"Data science, machine learning, and artificial intelligence in Python for students and professionals",Lazy Programmer Inc.,4.6313534,4915,37201,60,7 hours,All Levels,True,2026-02-02,2015-11-10T00:38:31Z,https://img-c.udemycdn.com/course/240x135/659368_e64f.jpg,deep-learning
2373814,PyTorch for Deep Learning with Python Bootcamp,https://www.udemy.com/course/pytorch-for-deep-learning-with-python-bootcamp/,Learn how to create state of the art neural networks for deep learning with Facebook's PyTorch Deep Learning library!,Jose Portilla,4.5431166,5541,37960,97,17 hours,All Levels,True,2023-09-19,2019-07-25T16:50:26Z,https://img-c.udemycdn.com/course/240x135/2373814_6e99_2.jpg,deep-learning
1560148,The Complete Self-Driving Car Course - Applied Deep Learning,https://www.udemy.com/course/applied-deep-learningtm-the-complete-self-driving-car-course/,"Learn to use Deep Learning, Computer Vision and Machine Learning techniques to Build an Autonomous Car with Python",Rayan Slim,4.6057982,4291,26491,169,18 hours,All Levels,True,2026-02-05,2018-08-20T19:41:55Z,https://img-c.udemycdn.com/course/240x135/1560148_6483_4.jpg,deep-learning
4268636,Deep Learning with PyTorch for Medical Image Analysis,https://www.udemy.com/course/deep-learning-with-pytorch-for-medical-image-analysis/,Learn how to use Pytorch-Lightning to solve real world medical imaging tasks!,Jose Portilla,4.6330404,1403,11638,88,12 hours,Expert,True,2021-11-19,2021-10-27T05:10:55Z,https://img-c.udemycdn.com/course/240x135/4268636_5533.jpg,deep-learning
